loser_age,loser_id,loser_name,loser_rank,winner_age,winner_id,winner_name,winner_rank
32.98015058,200097,Nathalie Tauziat,7,25.25393566,200117,Kveta Peschke,36
17.73853525,203117,Jenny Belobrajdic,720,24.5065024,204475,Kylie Hunt,361
20.99657769,200044,Denisa Chladkova,54,26.73511294,200768,Laurence Andretto,201
26.7652293,200006,Karina Habsudova,54,24.30390144,200076,Laurence Courtois,103
19.72073922,202574,Remi Tezuka,525,19.137577,201754,Leanne Baker,327
23.94524298,200727,Adriana Serra Zanetti,141,23.81930185,200071,Lenka Nemeckova,127
22.49965777,200035,Maria Sanchez Lorenzo,61,20.82135524,201354,Libuse Prusova,194
19.43326489,200083,Alexandra Stevenson,39,22.12457221,200068,Lilia Osterloh,94
26.23682409,200695,Tina Krizan,159,16.12046543,200111,Lina Krasnoroutskaya,110
27.88774812,200049,Conchita Martinez,7,23.74264203,200128,Lindsay Davenport,2
28.04928131,200700,Silvia Farina Elia,45,26.76249144,200020,Lisa Raymond,27
19.14852841,203143,Nicole Sewell,557,18.57357974,204888,Ljiljana Nanusevic,609
28.5284052,200105,Rachel Mcquillan,132,23.816564,201082,Lorna Woodroffe,327
26.05886379,200087,Seda Noorlander,100,22.39561944,201080,Louise Latimer,127
24.19438741,200022,Emmanuelle Gagliardi,84,25.53593429,200053,Lubomira Bacheva,73
21.41273101,200078,Barbara Schwartz,123,25.92744695,201089,Lucie Ahl,214
23.76180698,200121,Alina Jidkova,81,21.02395619,200025,Ludmila Cervanova,124
26.86926762,200682,Joannette Kruger,59,21.65092402,200732,Magdalena Grzybowska,74
27.35934292,200080,Dominique Monami,17,25.52498289,200086,Magdalena Maleeva,27
19.137577,200011,Katarina Srebotnik,80,21.16906229,200027,Magui Serna,48
21.93292266,200753,Cindy Watson,309,26.52977413,201847,Mareze Joubert,370
29.42642026,200116,Natalia Zvereva,72,17.34976044,201300,Maria Emilia Salerni,210
27.92881588,200057,Erika De Lone,90,22.86379192,200035,Maria Sanchez Lorenzo,103
28.80766598,200028,Maureen Drake,59,25.63175907,200024,Maria Vento Kabchi,113
24.41067762,200100,Amanda Hopmans,82,24.33127995,200055,Mariana Diaz Oliva,164
21.97399042,200125,Corina Morariu,37,19.56741958,200126,Marissa Gould,130
29.19917864,200715,Mariaan De Swardt,95,20.32854209,200123,Marlene Weingartner,103
28.23545517,200037,Sabine Appelmans,26,17.50034223,200777,Marta Marrero,64
27.78918549,200016,Sandrine Testud,14,19.29637235,200001,Martina Hingis,1
22.46132786,200050,Sandra Kleinova,87,19.92334018,201292,Martina Sucha,136
26.31622177,200061,Gala Leon Garcia,58,25.25393566,200096,Mary Pierce,4
23.33196441,200091,Janet Lee,110,23.72621492,201087,Mashona Washington,129
21.86721424,200050,Sandra Kleinova,79,28.99931554,200028,Maureen Drake,80
29.71663244,200112,Julie Halard Decugis,13,21.12799452,200046,Meghann Shaughnessy,65
26.74606434,200006,Karina Habsudova,52,22.28610541,200031,Meilen Tu,122
19.00068446,201708,Natalie Grandin,564,18.48049281,203592,Melanie Ann Clayton,485
24.15879535,200055,Mariana Diaz Oliva,120,23.20602327,200728,Melanie Schnell,214
19.72347707,200092,Sandra Nacuk,94,20.11498973,201409,Michaela Pastikova,221
29.94661191,200112,Julie Halard Decugis,17,27.94798084,200089,Miriam Oremans,93
22.34907598,203080,Nadia Johnston,418,26.13278576,202265,Mirielle Dittmann,302
23.37029432,200091,Janet Lee,111,17.99315537,200002,Mirjana Lucic,47
23.80835044,200088,Adriana Gersi,62,22.04517454,200030,Miroslava Vavrinec,95
24.24366872,201085,Shinobu Asagoe,84,26.81451061,200652,Monica Seles,5
26.61190965,200075,Jing Qian Yi,77,18.61738535,201419,Na Li,133
25.41820671,202121,Benjamas Sangaram,402,19.61943874,201084,Nadejda Ostrovskaya,108
23.3155373,204024,Natalie Dittmann,598,22.34907598,203080,Nadia Johnston,418
18.69952088,200772,Anastasia Myskina,65,17.78234086,200069,Nadia Petrova,75
23.93155373,200107,Paola Suarez,45,29.11978097,200116,Natalia Zvereva,40
17.87268994,201289,Christina Wheeler,377,19.00068446,201708,Natalie Grandin,564
24.75838467,200086,Magdalena Maleeva,76,20.86516085,200109,Nathalie Dechy,25
27.18685832,200006,Karina Habsudova,107,32.98015058,200097,Nathalie Tauziat,7
18.2696783,203105,I Ting Wang,572,21.83436003,203082,Nicole Melch,468
21.5633128,200110,Fabiola Zuluaga,35,27.40588638,200036,Nicole Pratt,50
24.5065024,204475,Kylie Hunt,361,23.78918549,203913,Niki Tippins,517
18.50513347,201204,Iroda Tulyaganova,111,20.15058179,201291,Nuria Llagostera Vives,115
25.95756331,200024,Maria Vento Kabchi,95,20.51471595,200052,Olga Barabanschikova,77
19.85215606,201854,Mariana Mesa,282,23.62491444,200107,Paola Suarez,70
15.65229295,202070,Scarlett Werner,686,21.94934976,200114,Patricia Wartusch,70
24.03832991,200088,Adriana Gersi,75,21.57152635,200067,Patty Schnyder,32
23.9835729,200040,Anna Smashnova,53,25.99041752,200047,Pavlina Nola,113
23.05270363,200121,Alina Jidkova,105,22.05612594,200015,Petra Mandula,115
22.85284052,203033,Keiko Tameishi,617,19.72073922,202574,Remi Tezuka,525
16.65982204,201306,Marie Gaiane Mikaelian,405,24.25188227,201920,Renata Kolbovic,180
23.78918549,203913,Niki Tippins,517,25.77412731,202128,Riei Kawamata,422
23.16495551,200054,Sylvia Plischke,59,25.49212868,200010,Rita Grande,60
23.84941821,200040,Anna Smashnova,56,22.2696783,200119,Rita Kuti Kis,72
22.16016427,200030,Miroslava Vavrinec,87,24.7008898,200709,Rosana De Los Rios,151
18.7761807,200772,Anastasia Myskina,56,27.47980835,200059,Ruxandra Dragomir Ilie,26
26.32169747,200024,Maria Vento Kabchi,94,28.40793977,200037,Sabine Appelmans,30
22.73511294,200090,Anca Barna,125,21.0568104,200749,Samantha Reeves,153
21.9301848,200114,Patricia Wartusch,69,22.17385353,200050,Sandra Kleinova,106
27.44421629,200036,Nicole Pratt,45,19.99178645,200092,Sandra Nacuk,111
21.22655715,200044,Denisa Chladkova,41,28.07665982,200016,Sandrine Testud,10
24.5229295,200713,Yuka Yoshida,138,22.46406571,201323,Saori Obata,221
24.21902806,200100,Amanda Hopmans,101,24.46543463,200127,Sarah Pitkowski Malcor,38
19.08008214,200011,Katarina Srebotnik,76,25.88637919,200087,Seda Noorlander,92
17.54962355,201083,Daja Bedanova,85,18.99794661,200033,Serena Williams,8
19.49075975,200083,Alexandra Stevenson,44,23.95619439,201085,Shinobu Asagoe,117
21.58521561,200072,Cara Black,38,28.39425051,200700,Silvia Farina Elia,57
19.37577002,200083,Alexandra Stevenson,40,22.29431896,200007,Silvija Talaja,23
25.02669405,200086,Magdalena Maleeva,58,23.96167009,200099,Sonya Jeyaseelan,96
22.7652293,200015,Petra Mandula,141,18.6036961,201353,Stanislava Hrozenska,346
19.33470226,200008,Alicia Molik,113,19.07186858,200773,Stephanie Foretz Gacon,197
18.6036961,201353,Stanislava Hrozenska,346,23.26078029,200054,Sylvia Plischke,53
26.91581109,200118,Virginia Ruano Pascual,88,23.24435318,200009,Tamarine Tanasugarn,45
20.76112252,201418,Ting Li,322,23.37303217,200045,Tara Snyder,114
22.15468857,200119,Rita Kuti Kis,69,22.77891855,200060,Tathiana Garbin,77
21.89459274,200098,Henrieta Nagyova,60,24.23271732,200063,Tatiana Panova,41
26.2587269,200082,Kristie Boogert,66,21.19370294,201284,Tatiana Poutchek,129
22.23682409,200114,Patricia Wartusch,90,19.03353867,202072,Tina Hergold,165
21.73853525,200114,Patricia Wartusch,66,19.19507187,200122,Tina Pisnik,81
23.39767283,200121,Alina Jidkova,92,20.43531828,201418,Ting Li,354
23.78918549,203913,Niki Tippins,517,24.87063655,202748,Tomoe Hotta,366
22.00958248,200068,Lilia Osterloh,98,20.5119781,201205,Tracy Almeda Singian,198
25.0294319,200706,Catalina Cristea,102,27.14852841,200014,Tzipi Obziler,171
19.97262149,204032,Marion Walter,968,21.66187543,202192,Tzu Ting Weng,631
21.07597536,200749,Samantha Reeves,150,23.31827515,201862,Vanessa Menga,297
25.9137577,200047,Pavlina Nola,114,24.38329911,200774,Vanessa Webb,111
21.76043806,200098,Henrieta Nagyova,74,20.25462012,200748,Venus Williams,3
21.01300479,201354,Libuse Prusova,179,26.81998631,200118,Virginia Ruano Pascual,102
16.65982204,201467,Ivana Abramovic,513,16.97193703,200043,Virginie Razzano,530
31.74264203,200579,Karin Kschwendt,375,19.12936345,201295,Wynne Prakusya,152
18.2696783,201286,Anabel Medina Garrigues,120,29.93566051,200653,Yayuk Basuki,297
25.39356605,200084,Asa Svensson,43,21.59890486,201313,Yoon Jeong Cho,195
24.70910335,200774,Vanessa Webb,121,24.5229295,200713,Yuka Yoshida,138
22.69130732,201809,Hila Rosen,174,16.56947296,201377,Yuliya Beygelzimer,573
24,200088,Adriana Gersi,66,23.04996578,200714,Yvette Basting,186
